+-------------------------------+-------------+------+-----------+
| palavra                       | nome        | flag | descricao |
| AZEITONA                      | SUBSTANTIVO | NOUN |           |
| AZUL                          | SUBSTANTIVO | NOUN |           |
| B                             | SUBSTANTIVO | NOUN |           |
| BABA                          | SUBSTANTIVO | NOUN |           |
| BABÁ1                         | SUBSTANTIVO | NOUN |           |
| BABÁ2                         | SUBSTANTIVO | NOUN |           |
| BABADO                        | SUBSTANTIVO | NOUN |           |
| BABADOR                       | SUBSTANTIVO | NOUN |           |
| BACALHAU                      | SUBSTANTIVO | NOUN |           |
| BACALHAU                      | SUBSTANTIVO | NOUN |           |
| BACIA                         | SUBSTANTIVO | NOUN |           |
| BACURI                        | SUBSTANTIVO | NOUN |           |
| BADALADA                      | SUBSTANTIVO | NOUN |           |
| BAGAGEM                       | SUBSTANTIVO | NOUN |           |
| BAHIA                         | SUBSTANTIVO | NOUN |           |
| BAILARINO                     | SUBSTANTIVO | NOUN |           |
| BAILE                         | SUBSTANTIVO | NOUN |           |
| BAINHA                        | SUBSTANTIVO | NOUN |           |
| BAIRRO                        | SUBSTANTIVO | NOUN |           |
| BALA                          | SUBSTANTIVO | NOUN |           |
| BALA                          | SUBSTANTIVO | NOUN |           |
| BALANÇA                       | SUBSTANTIVO | NOUN |           |
| BALANÇAR1                     | SUBSTANTIVO | NOUN |           |
| BALANÇO1                      | SUBSTANTIVO | NOUN |           |
| BALANÇO2                      | SUBSTANTIVO | NOUN |           |
| BALÃO1                        | SUBSTANTIVO | NOUN |           |
| BALÃO2                        | SUBSTANTIVO | NOUN |           |
| BALÃO3                        | SUBSTANTIVO | NOUN |           |
| BALDE                         | SUBSTANTIVO | NOUN |           |
| BALDEAÇÃO                     | SUBSTANTIVO | NOUN |           |
| BALÉ                          | SUBSTANTIVO | NOUN |           |
| BALEIA                        | SUBSTANTIVO | NOUN |           |
| BALSA                         | SUBSTANTIVO | NOUN |           |
| BAMBOLÊ                       | SUBSTANTIVO | NOUN |           |
| BAMBU                         | SUBSTANTIVO | NOUN |           |
| BANANA                        | SUBSTANTIVO | NOUN |           |
| BANCA DE JORNAL               | SUBSTANTIVO | NOUN |           |
| BANCO                         | SUBSTANTIVO | NOUN |           |
| BANCO                         | SUBSTANTIVO | NOUN |           |
| BANCO                         | SUBSTANTIVO | NOUN |           |
| BANDA                         | SUBSTANTIVO | NOUN |           |
| BANDAID                       | SUBSTANTIVO | NOUN |           |
| BANDEIRA                      | SUBSTANTIVO | NOUN |           |
| BANDEIRINHA                   | SUBSTANTIVO | NOUN |           |
| BANDEJA                       | SUBSTANTIVO | NOUN |           |
| BANGUE-BANGUE                 | SUBSTANTIVO | NOUN |           |
| BANHEIRA                      | SUBSTANTIVO | NOUN |           |
| BANHEIRO                      | SUBSTANTIVO | NOUN |           |
| BANHO                         | SUBSTANTIVO | NOUN |           |
| BANQUETE                      | SUBSTANTIVO | NOUN |           |
| BAR                           | SUBSTANTIVO | NOUN |           |
| BARALHO                       | SUBSTANTIVO | NOUN |           |
| BARATA                        | SUBSTANTIVO | NOUN |           |
| BARBA                         | SUBSTANTIVO | NOUN |           |
| BARBANTE                      | SUBSTANTIVO | NOUN |           |
| BARBEADOR                     | SUBSTANTIVO | NOUN |           |
| BARBEADOR ELÉTRICO            | SUBSTANTIVO | NOUN |           |
| BARCA                         | SUBSTANTIVO | NOUN |           |
| BARCO                         | SUBSTANTIVO | NOUN |           |
| BARRA                         | SUBSTANTIVO | NOUN |           |
| BARRA                         | SUBSTANTIVO | NOUN |           |
| BARRACA                       | SUBSTANTIVO | NOUN |           |
| BARREIRA                      | SUBSTANTIVO | NOUN |           |
| BARRIGA                       | SUBSTANTIVO | NOUN |           |
| BARRIL                        | SUBSTANTIVO | NOUN |           |
| BARRO                         | SUBSTANTIVO | NOUN |           |
| BARULHO                       | SUBSTANTIVO | NOUN |           |
| BASQUETE                      | SUBSTANTIVO | NOUN |           |
| BASTÃO                        | SUBSTANTIVO | NOUN |           |
| BATATA                        | SUBSTANTIVO | NOUN |           |
| BATATA DOCE                   | SUBSTANTIVO | NOUN |           |
| BATATA FRITA                  | SUBSTANTIVO | NOUN |           |
| BATEDEIRA                     | SUBSTANTIVO | NOUN |           |
| BATERIA                       | SUBSTANTIVO | NOUN |           |
| BATERIA                       | SUBSTANTIVO | NOUN |           |
| BATIDA                        | SUBSTANTIVO | NOUN |           |
| BATIDA                        | SUBSTANTIVO | NOUN |           |
| BATISMO                       | SUBSTANTIVO | NOUN |           |
| BATISMO                       | SUBSTANTIVO | NOUN |           |
| BATOM                         | SUBSTANTIVO | NOUN |           |
| BAÚ                           | SUBSTANTIVO | NOUN |           |
| BEBÊ                          | SUBSTANTIVO | NOUN |           |
| BEBEDOURO                     | SUBSTANTIVO | NOUN |           |
| BEBIDA                        | SUBSTANTIVO | NOUN |           |
| BEIJA-FLOR                    | SUBSTANTIVO | NOUN |           |
| BEIJO                         | SUBSTANTIVO | NOUN |           |
| BEISEBOL                      | SUBSTANTIVO | NOUN |           |
| BELEZA                        | SUBSTANTIVO | NOUN |           |
| BÉLGICA                       | SUBSTANTIVO | NOUN |           |
| BELICHE                       | SUBSTANTIVO | NOUN |           |
| BELO HORIZONTE                | SUBSTANTIVO | NOUN |           |
| BENÇÃO                        | SUBSTANTIVO | NOUN |           |
| BENGALA                       | SUBSTANTIVO | NOUN |           |
| BERÇO                         | SUBSTANTIVO | NOUN |           |
| BERINJELA                     | SUBSTANTIVO | NOUN |           |
| BERMUDA                       | SUBSTANTIVO | NOUN |           |
| BESOURO                       | SUBSTANTIVO | NOUN |           |
| BESTEIRA                      | SUBSTANTIVO | NOUN |           |
| BETERRABA                     | SUBSTANTIVO | NOUN |           |
| BEXIGA                        | SUBSTANTIVO | NOUN |           |
| BEZERRO                       | SUBSTANTIVO | NOUN |           |
| BÍBLIA                        | SUBSTANTIVO | NOUN |           |
| BIBLIOGRAFIA                  | SUBSTANTIVO | NOUN |           |
| BIBLIOTECA                    | SUBSTANTIVO | NOUN |           |
| BICAMPEAO                     | SUBSTANTIVO | NOUN |           |
| BÍCEPS                        | SUBSTANTIVO | NOUN |           |
| BICHO                         | SUBSTANTIVO | NOUN |           |
| BICHO                         | SUBSTANTIVO | NOUN |           |
| BICHO                         | SUBSTANTIVO | NOUN |           |
| BICHO                         | SUBSTANTIVO | NOUN |           |
| BICICLETA                     | SUBSTANTIVO | NOUN |           |
| BICO                          | SUBSTANTIVO | NOUN |           |
| BIÊNIO                        | SUBSTANTIVO | NOUN |           |
| BIFE                          | SUBSTANTIVO | NOUN |           |
| BIGODE                        | SUBSTANTIVO | NOUN |           |
| BILHAR                        | SUBSTANTIVO | NOUN |           |
| BILHETE                       | SUBSTANTIVO | NOUN |           |
| BILINGÜISMO                   | SUBSTANTIVO | NOUN |           |
| BIMESTRE                      | SUBSTANTIVO | NOUN |           |
| BINGO                         | SUBSTANTIVO | NOUN |           |
| BINÓCULOS                     | SUBSTANTIVO | NOUN |           |
| BIOLOGIA                      | SUBSTANTIVO | NOUN |           |
| BIÓLOGO                       | SUBSTANTIVO | NOUN |           |
| BIQUÍNI                       | SUBSTANTIVO | NOUN |           |
| BISAVÓ                        | SUBSTANTIVO | NOUN |           |
| BISCATE                       | SUBSTANTIVO | NOUN |           |
| BISCOITO                      | SUBSTANTIVO | NOUN |           |
| BISNAGA                       | SUBSTANTIVO | NOUN |           |
| BISPO                         | SUBSTANTIVO | NOUN |           |
| BISTURI                       | SUBSTANTIVO | NOUN |           |
| BLOCO                         | SUBSTANTIVO | NOUN |           |
| BLOCO                         | SUBSTANTIVO | NOUN |           |
| BLUSA                         | SUBSTANTIVO | NOUN |           |
| BOATE                         | SUBSTANTIVO | NOUN |           |
| BOBAGEM                       | SUBSTANTIVO | NOUN |           |
| BÓBI DE CABELO                | SUBSTANTIVO | NOUN |           |
