+--------------------+-------+--------+-----------------------------------------------------------+
| COMPRAR            | VERBO | VERB   |                                                           |
| COMPREENDER        | VERBO | VERB   |                                                           |
| COMUNGAR           | VERBO | VERB   |                                                           |
| COMUNICAR          | VERBO | VERB   |                                                           |
| CONCENTRAR         | VERBO | VERB   |                                                           |
| CONCLUIR           | VERBO | VERB   |                                                           |
| CONCORDAR          | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| CONCORRER          | VERBO | VERB   |                                                           |
| CONFECCIONAR       | VERBO | VERB   |                                                           |
| CONFEITAR          | VERBO | VERB   |                                                           |
| CONFERENCIAR       | VERBO | VERB   |                                                           |
| CONFERIR           | VERBO | VERB   |                                                           |
| CONFESSAR          | VERBO | VERB   |                                                           |
| CONFIAR            | VERBO | VERB   |                                                           |
| CONFIRMAR          | VERBO | VERB   |                                                           |
| CONFISCAR          | VERBO | VERB   |                                                           |
| CONFORMAR          | VERBO | VERB   |                                                           |
| CONFORTAR          | VERBO | VERB   |                                                           |
| CONFRONTAR         | VERBO | VERB   |                                                           |
| CONFUNDIR          | VERBO | VERB   |                                                           |
| CONGELAR           | VERBO | VERB   |                                                           |
| CONHECER           | VERBO | VERB   |                                                           |
| CONQUISTAR         | VERBO | VERB   |                                                           |
| CONSEGUIR          | VERBO | VERB   |                                                           |
| CONSERTAR          | VERBO | VERB   |                                                           |
| CONSERVAR          | VERBO | VERB   |                                                           |
| CONSOLAR           | VERBO | VERB   |                                                           |
| CONSTRUIR          | VERBO | VERB   |                                                           |
| CONSULTAR          | VERBO | VERB   |                                                           |
| CONTAMINAR         | VERBO | VERB   |                                                           |
| CONTAR             | VERBO | VERB   |                                                           |
| CONTAR             | VERBO | VERB   |                                                           |
| CONTAR             | VERBO | VERB   |                                                           |
| CONTATAR           | VERBO | VERB   |                                                           |
| CONTINUAR          | VERBO | VERB   |                                                           |
| CONTRATAR          | VERBO | VERB   |                                                           |
| CONTRATAR          | VERBO | VERB   |                                                           |
| CONTRIBUIR         | VERBO | VERB   |                                                           |
| CONVENCER          | VERBO | VERB   |                                                           |
| CONVENTO           | VERBO | VERB   |                                                           |
| CONVERSAR          | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| CONVERTER          | VERBO | VERB   |                                                           |
| CONVIDAR           | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| COPIAR             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| CORRER             | VERBO | VERB   |                                                           |
| CORRER             | VERBO | VERB   |                                                           |
| CORRER             | VERBO | VERB   |                                                           |
| CORRESPONDER       | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| CORRESPONDER       | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| CORRIGIR           | VERBO | VERB   |                                                           |
| CORROMPER          | VERBO | VERB   |                                                           |
| CORTAR             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| CORTAR             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| CORTAR             | VERBO | VERB-L | Verbo conjugado por locativo                              |
| COSTURAR           | VERBO | VERB-L | Verbo conjugado por locativo                              |
| COSTURAR           | VERBO | VERB-L | Verbo conjugado por locativo                              |
| COXEAR             | VERBO | VERB   |                                                           |
| COZINHAR           | VERBO | VERB   |                                                           |
| CRAVAR             | VERBO | VERB   |                                                           |
| CRER               | VERBO | VERB   |                                                           |
| CRESCER            | VERBO | VERB   |                                                           |
| CRESCER            | VERBO | VERB   |                                                           |
| CRIAR              | VERBO | VERB   |                                                           |
| CRIAR              | VERBO | VERB   |                                                           |
| CRIAR              | VERBO | VERB   |                                                           |
| CRIAR              | VERBO | VERB   |                                                           |
| CRITICAR           | VERBO | VERB   |                                                           |
| CRUCIFICAR         | VERBO | VERB   |                                                           |
| CRUZAR             | VERBO | VERB   |                                                           |
| CRUZAR             | VERBO | VERB   |                                                           |
| CUIDAR             | VERBO | VERB   |                                                           |
| CUIDAR             | VERBO | VERB   |                                                           |
| CULPA              | VERBO | VERB   |                                                           |
